source_image,object_name,environment,bbox_x,bbox_y,bbox_w,bbox_h,object_area
train1.jpg,train1_obj1,non_snow,5,34,228,442,35210.0
train10.jpg,train10_obj1,non_snow,125,73,553,430,93922.0
train100.jpg,train100_obj1,non_snow,134,116,1275,824,450516.0
train101.jpg,train101_obj1,non_snow,36,246,1192,369,194904.0
train102.jpg,train102_obj1,non_snow,1,130,879,1323,704486.0
train103.jpg,train103_obj1,non_snow,234,193,385,245,35715.0
train104.jpg,train104_obj1,non_snow,133,30,216,443,66150.0
train105.jpg,train105_obj1,non_snow,177,79,462,524,119239.0
train106.jpg,train106_obj1,non_snow,238,259,597,299,59407.0
train107.jpg,train107_obj1,non_snow,512,274,158,222,25506.0
train108.jpg,train108_obj1,non_snow,457,443,259,323,27232.0
train109.jpg,train109_obj1,non_snow,405,204,946,1233,519133.0
train11.jpg,train11_obj1,non_snow,866,276,371,646,134530.0
train110.jpg,train110_obj1,non_snow,333,130,163,438,36047.0
train111.jpg,train111_obj1,non_snow,324,392,424,324,77049.0
train112.jpg,train112_obj1,non_snow,357,15,491,695,221873.0
train113.jpg,train113_obj1,non_snow,351,120,224,293,37174.0
train114.jpg,train114_obj1,non_snow,325,43,309,336,57151.0
train115.jpg,train115_obj1,non_snow,379,7,372,393,62727.0
train116.jpg,train116_obj1,non_snow,258,40,421,717,200015.0
train117.jpg,train117_obj1,non_snow,6,11,476,255,62019.0
train118.jpg,train118_obj1,non_snow,267,0,691,838,351415.0
train119.jpg,train119_obj1,non_snow,172,97,984,582,316820.0
train12.jpg,train12_obj1,non_snow,500,288,410,422,65853.0
train120.jpg,train120_obj1,non_snow,155,202,1066,514,250658.0
train121.jpg,train121_obj1,non_snow,261,69,624,647,242424.0
train122.jpg,train122_obj1,non_snow,399,194,490,521,143850.0
train123.jpg,train123_obj1,non_snow,173,92,820,606,219637.0
train124.jpg,train124_obj1,non_snow,281,179,752,538,223209.0
train125.jpg,train125_obj1,non_snow,80,143,1124,1159,549602.0
train126.jpg,train126_obj1,non_snow,40,107,544,481,140735.0
train127.jpg,train127_obj1,non_snow,122,111,220,143,18635.0
train128.jpg,train128_obj1,non_snow,2,27,494,553,104570.0
train129.jpg,train129_obj1,non_snow,124,41,429,549,87898.0
train13.jpg,train13_obj1,snow,467,81,136,462,35856.0
train130.jpg,train130_obj1,non_snow,14,36,86,182,6228.0
train131.jpg,train131_obj1,non_snow,8,34,290,571,79334.0
train132.jpg,train132_obj1,non_snow,192,38,941,526,221541.0
train133.jpg,train133_obj1,non_snow,346,0,661,686,199650.0
train134.jpg,train134_obj1,non_snow,182,121,360,565,147734.0
train135.jpg,train135_obj1,non_snow,239,0,237,936,159153.0
train136.jpg,train136_obj1,non_snow,99,174,650,1232,435443.0
train137.jpg,train137_obj1,non_snow,43,98,422,523,94020.0
train138.jpg,train138_obj1,non_snow,181,85,276,309,38673.0
train139.jpg,train139_obj1,non_snow,315,96,213,446,56055.0
train14.jpg,train14_obj1,snow,475,97,151,427,38599.0
train140.jpg,train140_obj1,non_snow,1314,1952,1379,1875,1198625.0
train141.jpg,train141_obj1,non_snow,48,245,250,262,41979.0
train142.jpg,train142_obj1,non_snow,297,151,203,435,58701.0
train143.jpg,train143_obj1,non_snow,60,112,548,212,41438.0
train144.jpg,train144_obj1,non_snow,63,36,744,1725,859690.0
train145.jpg,train145_obj1,non_snow,89,212,371,366,63714.0
train146.jpg,train146_obj1,non_snow,879,1734,1696,1196,906347.0
train147.jpg,train147_obj1,non_snow,51,216,397,413,76512.0
train148.jpg,train148_obj1,non_snow,8,189,403,328,42019.0
train149.jpg,train149_obj1,non_snow,166,91,197,123,9685.0
train15.jpg,train15_obj1,snow,573,94,145,429,31803.0
train150.jpg,train150_obj1,non_snow,89,237,344,908,173554.0
train151.jpg,train151_obj1,non_snow,158,76,124,167,10649.0
train152.jpg,train152_obj1,non_snow,181,119,184,140,10620.0
train153.jpg,train153_obj1,non_snow,0,0,674,951,496945.0
train154.jpg,train154_obj1,non_snow,2,66,289,295,55194.0
train155.jpg,train155_obj1,non_snow,12,142,377,501,107643.0
train156.jpg,train156_obj1,non_snow,319,81,343,402,65847.0
train157.jpg,train157_obj1,non_snow,98,211,725,904,282308.0
train158.jpg,train158_obj1,non_snow,511,238,249,536,64229.0
train159.jpg,train159_obj1,non_snow,255,70,642,804,64247.0
train16.jpg,train16_obj1,non_snow,620,485,404,161,29251.0
train160.jpg,train160_obj1,non_snow,276,131,163,213,12397.0
train161.jpg,train161_obj1,non_snow,52,6,642,495,161821.0
