filename,action,reason,environment,hard_positive_score
image875.jpg,kept,kept_original,non_snow,0.97026388
image876.jpg,kept,kept_original,non_snow,0.96883498
image522.jpg,kept,kept_original,non_snow,0.94357256
image874.jpg,kept,kept_original,non_snow,0.91525376
image748.jpg,kept,kept_best_in_similar_group,non_snow,0.91307012
image515.jpg,kept,kept_original,non_snow,0.90839806
image615.jpg,kept,kept_original,non_snow,0.90473615
image514.jpg,kept,kept_original,non_snow,0.90261485
image771.jpg,kept,kept_original,non_snow,0.89353005
image781.jpg,kept,kept_original,non_snow,0.89343592
image511.jpg,kept,kept_original,non_snow,0.89341051
image932.jpg,kept,kept_original,non_snow,0.89181438
image551.jpg,kept,kept_original,non_snow,0.88727029
imgR160.jpg,kept,kept_original,non_snow,0.88339774
image559.jpg,kept,kept_original,non_snow,0.88330040
image922.jpg,kept,kept_original,snow,0.96520649
image973.jpg,kept,kept_best_in_similar_group,snow,0.94342213
image905.jpg,kept,kept_original,snow,0.91814182
image978.jpg,kept,kept_original,snow,0.91587026
image903.jpg,kept,kept_original,snow,0.91287660
image982.jpg,kept,kept_best_in_similar_group,snow,0.90709620
image510.jpg,promoted,promoted_from_scores,non_snow,0.88177487
image508.jpg,promoted,promoted_from_scores,non_snow,0.88176320
image561.jpg,promoted,promoted_from_scores,non_snow,0.87959149
image545.jpg,promoted,promoted_from_scores,non_snow,0.87634328
image793.jpg,promoted,promoted_from_scores,non_snow,0.87614428
image547.jpg,promoted,promoted_from_scores,non_snow,0.86954137
image895.jpg,promoted,promoted_from_scores,snow,0.88978649
image901.jpg,promoted,promoted_from_scores,snow,0.88736566
image1004.jpg,promoted,promoted_from_scores,snow,0.88644419
image745.jpg,removed,removed_duplicate_in_similar_group,non_snow,0.90802058
image750.jpg,removed,removed_duplicate_in_similar_group,non_snow,0.89998227
image752.jpg,removed,removed_duplicate_in_similar_group,non_snow,0.89807296
image747.jpg,removed,removed_duplicate_in_similar_group,non_snow,0.89728121
image746.jpg,removed,removed_duplicate_in_similar_group,non_snow,0.89417893
image743.jpg,removed,removed_duplicate_in_similar_group,non_snow,0.88699900
image975.jpg,removed,removed_duplicate_in_similar_group,snow,0.94116979
image974.jpg,removed,removed_duplicate_in_similar_group,snow,0.94065772
image977.jpg,removed,removed_duplicate_in_similar_group,snow,0.93561913
