source_image,object_name,environment,brightness_mean,saturation_mean,white_ratio
train1.jpg,train1_obj1,non_snow,35.763738,63.931903,0.000000
train10.jpg,train10_obj1,non_snow,111.391525,66.916940,0.146822
train100.jpg,train100_obj1,non_snow,101.333960,74.335565,0.022349
train101.jpg,train101_obj1,non_snow,44.450808,56.120446,0.000111
train102.jpg,train102_obj1,non_snow,83.967698,62.333258,0.083864
train103.jpg,train103_obj1,non_snow,141.462125,37.023958,0.249619
train104.jpg,train104_obj1,non_snow,96.553285,109.919078,0.008046
train105.jpg,train105_obj1,non_snow,47.441604,41.941058,0.000000
train106.jpg,train106_obj1,non_snow,109.851516,126.763122,0.007878
train107.jpg,train107_obj1,non_snow,147.012428,81.217439,0.001764
train108.jpg,train108_obj1,non_snow,89.698057,46.656971,0.008311
train109.jpg,train109_obj1,non_snow,64.637597,55.120920,0.034338
train11.jpg,train11_obj1,non_snow,139.295748,38.802157,0.313106
train110.jpg,train110_obj1,non_snow,77.922895,145.751343,0.001466
train111.jpg,train111_obj1,non_snow,121.265530,43.019051,0.152012
train112.jpg,train112_obj1,non_snow,133.398571,46.595151,0.133926
train113.jpg,train113_obj1,non_snow,48.450996,36.168386,0.000000
train114.jpg,train114_obj1,non_snow,49.049754,41.687007,0.003837
train115.jpg,train115_obj1,non_snow,41.285263,47.732985,0.000000
train116.jpg,train116_obj1,non_snow,66.682079,61.026870,0.030130
train117.jpg,train117_obj1,non_snow,83.189063,19.865011,0.092020
train118.jpg,train118_obj1,non_snow,88.681033,35.485532,0.075972
train119.jpg,train119_obj1,non_snow,105.767578,103.333443,0.028789
train12.jpg,train12_obj1,non_snow,162.402717,13.783525,0.395842
train120.jpg,train120_obj1,non_snow,125.784081,53.401877,0.057977
train121.jpg,train121_obj1,non_snow,112.412121,37.005291,0.063991
train122.jpg,train122_obj1,non_snow,105.686999,38.104997,0.145190
train123.jpg,train123_obj1,non_snow,44.887296,11.887015,0.001775
train124.jpg,train124_obj1,non_snow,76.076035,36.672221,0.013370
train125.jpg,train125_obj1,non_snow,59.367111,55.938759,0.004409
train126.jpg,train126_obj1,non_snow,104.716088,94.381032,0.054066
train127.jpg,train127_obj1,non_snow,79.771666,126.074162,0.029675
train128.jpg,train128_obj1,non_snow,85.102456,65.773165,0.017717
train129.jpg,train129_obj1,non_snow,67.327719,85.175446,0.000889
train13.jpg,train13_obj1,snow,185.256926,12.056505,0.683186
train130.jpg,train130_obj1,non_snow,92.407354,117.026333,0.029865
train131.jpg,train131_obj1,non_snow,86.970191,90.684594,0.008409
train132.jpg,train132_obj1,non_snow,70.844043,74.371210,0.002818
train133.jpg,train133_obj1,non_snow,48.852871,77.396786,0.009751
train134.jpg,train134_obj1,non_snow,114.004158,114.099792,0.062106
train135.jpg,train135_obj1,non_snow,73.522487,132.551022,0.000170
train136.jpg,train136_obj1,non_snow,89.652794,28.823896,0.019532
train137.jpg,train137_obj1,non_snow,86.584472,163.093971,0.014060
train138.jpg,train138_obj1,non_snow,53.908002,151.244182,0.001133
train139.jpg,train139_obj1,non_snow,77.167382,74.627901,0.005706
train14.jpg,train14_obj1,snow,183.486747,12.461327,0.652013
train140.jpg,train140_obj1,non_snow,62.537707,163.108509,0.001881
train141.jpg,train141_obj1,non_snow,78.276263,46.884071,0.072995
train142.jpg,train142_obj1,non_snow,117.822478,36.662436,0.048047
