filename,environment,hard_positive_score,selected_reason,rank_in_group
image875.jpg,non_snow,0.97026388,kept_original,1
image876.jpg,non_snow,0.96883498,kept_original,2
image522.jpg,non_snow,0.94357256,kept_original,3
image874.jpg,non_snow,0.91525376,kept_original,4
image748.jpg,non_snow,0.91307012,kept_best_in_similar_group,5
image515.jpg,non_snow,0.90839806,kept_original,6
image615.jpg,non_snow,0.90473615,kept_original,7
image514.jpg,non_snow,0.90261485,kept_original,8
image771.jpg,non_snow,0.89353005,kept_original,9
image781.jpg,non_snow,0.89343592,kept_original,10
image511.jpg,non_snow,0.89341051,kept_original,11
image932.jpg,non_snow,0.89181438,kept_original,12
image551.jpg,non_snow,0.88727029,kept_original,13
imgR160.jpg,non_snow,0.88339774,kept_original,14
image559.jpg,non_snow,0.88330040,kept_original,15
image510.jpg,non_snow,0.88177487,promoted_from_scores,16
image508.jpg,non_snow,0.88176320,promoted_from_scores,17
image561.jpg,non_snow,0.87959149,promoted_from_scores,18
image545.jpg,non_snow,0.87634328,promoted_from_scores,19
image793.jpg,non_snow,0.87614428,promoted_from_scores,20
image547.jpg,non_snow,0.86954137,promoted_from_scores,21
image922.jpg,snow,0.96520649,kept_original,1
image973.jpg,snow,0.94342213,kept_best_in_similar_group,2
image905.jpg,snow,0.91814182,kept_original,3
image978.jpg,snow,0.91587026,kept_original,4
image903.jpg,snow,0.91287660,kept_original,5
image982.jpg,snow,0.90709620,kept_best_in_similar_group,6
image895.jpg,snow,0.88978649,promoted_from_scores,7
image901.jpg,snow,0.88736566,promoted_from_scores,8
image1004.jpg,snow,0.88644419,promoted_from_scores,9
