filename,stem,action,environment,image_found,label_found,reason
image1.jpg,image1,train_copy,train,True,True,copied_to_train
image10.jpg,image10,train_copy,train,True,True,copied_to_train
image100.jpg,image100,train_copy,train,True,True,copied_to_train
image1009.jpg,image1009,train_copy,train,True,True,copied_to_train
image101.jpg,image101,train_copy,train,True,True,copied_to_train
image1010.jpg,image1010,train_copy,train,True,True,copied_to_train
image1011.jpg,image1011,train_copy,train,True,True,copied_to_train
image1012.jpg,image1012,train_copy,train,True,True,copied_to_train
image1013.jpg,image1013,train_copy,train,True,True,copied_to_train
image1014.jpg,image1014,train_copy,train,True,True,copied_to_train
image1015.jpg,image1015,train_copy,train,True,True,copied_to_train
image1016.jpg,image1016,train_copy,train,True,True,copied_to_train
image1017.jpg,image1017,train_copy,train,True,True,copied_to_train
image1018.jpg,image1018,train_copy,train,True,True,copied_to_train
image1019.jpg,image1019,train_copy,train,True,True,copied_to_train
image102.jpg,image102,train_copy,train,True,True,copied_to_train
image1020.jpg,image1020,train_copy,train,True,True,copied_to_train
image1021.jpg,image1021,train_copy,train,True,True,copied_to_train
image1022.jpg,image1022,train_copy,train,True,True,copied_to_train
image1023.jpg,image1023,train_copy,train,True,True,copied_to_train
image103.jpg,image103,train_copy,train,True,True,copied_to_train
image104.jpg,image104,train_copy,train,True,True,copied_to_train
image105.jpg,image105,train_copy,train,True,True,copied_to_train
image106.jpg,image106,train_copy,train,True,True,copied_to_train
image107.jpg,image107,train_copy,train,True,True,copied_to_train
image108.jpg,image108,train_copy,train,True,True,copied_to_train
image109.jpg,image109,train_copy,train,True,True,copied_to_train
image11.jpg,image11,train_copy,train,True,True,copied_to_train
image110.jpg,image110,train_copy,train,True,True,copied_to_train
image111.jpg,image111,train_copy,train,True,True,copied_to_train
image112.jpg,image112,train_copy,train,True,True,copied_to_train
image113.jpg,image113,train_copy,train,True,True,copied_to_train
image114.jpg,image114,train_copy,train,True,True,copied_to_train
image115.jpg,image115,train_copy,train,True,True,copied_to_train
image116.jpg,image116,train_copy,train,True,True,copied_to_train
image117.jpg,image117,train_copy,train,True,True,copied_to_train
image118.jpg,image118,train_copy,train,True,True,copied_to_train
image119.jpg,image119,train_copy,train,True,True,copied_to_train
image12.jpg,image12,train_copy,train,True,True,copied_to_train
image120.jpg,image120,train_copy,train,True,True,copied_to_train
image121.jpg,image121,train_copy,train,True,True,copied_to_train
image122.jpg,image122,train_copy,train,True,True,copied_to_train
image123.jpg,image123,train_copy,train,True,True,copied_to_train
image124.jpg,image124,train_copy,train,True,True,copied_to_train
image125.jpg,image125,train_copy,train,True,True,copied_to_train
image126.jpg,image126,train_copy,train,True,True,copied_to_train
image127.jpg,image127,train_copy,train,True,True,copied_to_train
image128.jpg,image128,train_copy,train,True,True,copied_to_train
image129.jpg,image129,train_copy,train,True,True,copied_to_train
image13.jpg,image13,train_copy,train,True,True,copied_to_train
image130.jpg,image130,train_copy,train,True,True,copied_to_train
image131.jpg,image131,train_copy,train,True,True,copied_to_train
image132.jpg,image132,train_copy,train,True,True,copied_to_train
image133.jpg,image133,train_copy,train,True,True,copied_to_train
image134.jpg,image134,train_copy,train,True,True,copied_to_train
image135.jpg,image135,train_copy,train,True,True,copied_to_train
image136.jpg,image136,train_copy,train,True,True,copied_to_train
image137.jpg,image137,train_copy,train,True,True,copied_to_train
image138.jpg,image138,train_copy,train,True,True,copied_to_train
image139.jpg,image139,train_copy,train,True,True,copied_to_train
image14.jpg,image14,train_copy,train,True,True,copied_to_train
image140.jpg,image140,train_copy,train,True,True,copied_to_train
image141.jpg,image141,train_copy,train,True,True,copied_to_train
image142.jpg,image142,train_copy,train,True,True,copied_to_train
image143.jpg,image143,train_copy,train,True,True,copied_to_train
image144.jpg,image144,train_copy,train,True,True,copied_to_train
image145.jpg,image145,train_copy,train,True,True,copied_to_train
image146.jpg,image146,train_copy,train,True,True,copied_to_train
image147.jpg,image147,train_copy,train,True,True,copied_to_train
